nm,phyto_mixA,Cryptophyta_L,Cryptophyta_H,Diatoms,Dinoflagellates,Green_algae
506,0.021400000000000002,0.022461864,0.018171600000000003,0.022281634,0.03497,0.014757999999999999
507,0.0211,0.021789012,0.018000600000000002,0.021972586000000002,0.03461000000000001,0.014270000000000001
508,0.0208,0.021111084000000002,0.017806799999999998,0.021669384000000003,0.034253000000000006,0.013804000000000002
509,0.0204,0.020437104,0.017613,0.021373292000000002,0.033893000000000006,0.013359000000000001
510,0.0201,0.01977572,0.0174306,0.021086206,0.033541,0.012935
511,0.019799999999999998,0.019131632,0.017236799999999997,0.0208086,0.033187,0.012531
512,0.0195,0.018510236000000003,0.017054400000000004,0.020541264,0.032835,0.012146
513,0.0192,0.017915178000000004,0.0168834,0.020284672,0.032489,0.011779999999999999
514,0.019,0.017348245,0.016723799999999997,0.020038824,0.032144,0.011432
515,0.0187,0.016811468,0.016587,0.019803404,0.031802000000000004,0.011099999999999999
516,0.018500000000000003,0.016305447000000004,0.016473,0.019578254000000003,0.03146499999999999,0.010786
517,0.0182,0.015830144999999997,0.016370400000000004,0.019362900000000002,0.031128,0.010486
518,0.018000000000000002,0.015384999,0.0162906,0.019156394000000004,0.030798999999999997,0.010201
519,0.0178,0.014969876,0.016245,0.018958420000000007,0.030468000000000002,0.009930999999999999
520,0.0176,0.014583856000000001,0.016222199999999996,0.018767872,0.030143999999999997,0.009673
521,0.017400000000000002,0.014225979,0.016222199999999996,0.018583960000000004,0.029823999999999996,0.009428999999999998
522,0.017300000000000003,0.013895155000000001,0.016245,0.018405894000000006,0.029505,0.009196
523,0.0171,0.013590163,0.016302,0.018232567999999998,0.029192999999999997,0.008975
524,0.016900000000000002,0.01330978,0.016370400000000004,0.018063034000000006,0.028881,0.008764
525,0.0168,0.013053423,0.016473,0.017896818,0.028576,0.008565
526,0.0167,0.012819457,0.016587,0.017732656,0.028274,0.008374000000000001
527,0.0166,0.012607186,0.016723799999999997,0.017569916000000005,0.027975000000000003,0.008194
528,0.0164,0.012415707999999998,0.016871999999999998,0.017407808,0.027682,0.008022
529,0.016300000000000002,0.012243801,0.0170202,0.017245858,0.02739,0.007858
530,0.0162,0.012091032,0.0171912,0.017083276,0.027105,0.007703000000000001
531,0.0161,0.011956442999999999,0.017350800000000003,0.016919746,0.026821,0.007555999999999999
532,0.0161,0.011839375000000001,0.017510400000000002,0.016754478000000003,0.026542,0.007416
533,0.016,0.011739189999999998,0.017658600000000003,0.016587788,0.026269,0.007283
534,0.0159,0.011655285999999999,0.017795400000000003,0.016419201999999997,0.025997000000000003,0.007157
535,0.015799999999999998,0.011587173,0.0179208,0.016248404,0.025731999999999998,0.007038
536,0.0157,0.011534402000000001,0.018012,0.016075868,0.025468000000000005,0.006925
537,0.0156,0.011496443999999998,0.0180918,0.01590112,0.025209,0.006818
538,0.0155,0.011472943999999999,0.0181374,0.015724476,0.024954000000000004,0.006717
539,0.015399999999999999,0.011463506999999998,0.0181488,0.015546284,0.024701999999999998,0.006622
540,0.0153,0.011467755999999997,0.0181374,0.015366859,0.024456000000000002,0.006533000000000001
541,0.0152,0.011485370999999998,0.0181146,0.015186137999999998,0.024211999999999997,0.006449000000000001
542,0.015,0.011515959,0.018057600000000004,0.015004849,0.023972,0.00637
543,0.0149,0.011559160999999998,0.0179892,0.014823227999999999,0.023735999999999997,0.006297
544,0.0148,0.011614602,0.017898,0.014641796999999998,0.023503,0.006228
545,0.0147,0.011681981999999999,0.017806799999999998,0.014460680999999998,0.023275999999999998,0.006165
546,0.0146,0.011760715999999997,0.0177156,0.014280767,0.023048999999999997,0.0061070000000000004
547,0.0145,0.011850447999999998,0.017613,0.014102243,0.022827999999999998,0.0060539999999999995
548,0.0144,0.011950595999999999,0.0175332,0.01392552,0.022609999999999998,0.006006
549,0.0143,0.012060462999999999,0.017453400000000004,0.01375123,0.022395,0.005962
550,0.0142,0.01217958,0.017396400000000003,0.013579484000000001,0.022185,0.005923
551,0.0141,0.012307006,0.0173622,0.013410898,0.021976000000000002,0.00589
552,0.014,0.012441915,0.0173394,0.01324574,0.021773,0.005861000000000001
553,0.013900000000000001,0.012583140999999999,0.0173394,0.013084549000000003,0.021572,0.005837
554,0.013900000000000001,0.012729856,0.0173622,0.012927306999999999,0.021374000000000004,0.005818
555,0.013800000000000002,0.012880688,0.017396400000000003,0.012774426,0.021181000000000002,0.005804
556,0.013800000000000002,0.013034134000000001,0.017453400000000004,0.01262627,0.020988000000000003,0.005795
557,0.0137,0.013189027,0.0175218,0.012482757999999998,0.020801999999999998,0.00579
558,0.0137,0.013343544,0.017601600000000002,0.012344224,0.020617,0.005792
559,0.0137,0.013496106,0.017692799999999998,0.01221073,0.020435000000000002,0.005798
560,0.013600000000000001,0.013644739000000001,0.0177726,0.01208245,0.020257,0.005809000000000001
561,0.013600000000000001,0.013787826000000001,0.017841,0.011959273,0.02008,0.0058260000000000004
562,0.013600000000000001,0.013923373999999999,0.0178866,0.011841247,0.019909,0.005849000000000001
563,0.013500000000000002,0.014049522000000002,0.017909400000000002,0.011728371999999997,0.019738,0.005877
564,0.013500000000000002,0.014164522,0.017898,0.011620472999999997,0.019572,0.0059099999999999995
565,0.0134,0.014266681,0.0178524,0.011517442,0.019409,0.005949
566,0.0134,0.01435442,0.0177612,0.011419070999999998,0.019247999999999998,0.005993
567,0.013300000000000001,0.014426255,0.017613,0.011325219,0.019091,0.006043000000000001
568,0.013200000000000002,0.014481095,0.0174192,0.011235617,0.018934000000000003,0.006098
569,0.0131,0.014518037,0.0171798,0.011149996999999998,0.018782,0.006158
570,0.013000000000000001,0.014536536000000003,0.0168834,0.011067994999999999,0.018633,0.0062239999999999995
571,0.0129,0.014536235000000003,0.0165528,0.010989263,0.018485000000000005,0.006293999999999999
572,0.0127,0.014517228,0.0161766,0.010913517999999999,0.018342,0.006368
573,0.0126,0.014479797999999999,0.0157776,0.010840348,0.018199,0.0064470000000000005
574,0.0125,0.014424675999999999,0.0153444,0.010769421999999999,0.018061000000000004,0.006529000000000001
575,0.0123,0.014352766,0.014899800000000001,0.010700359999999999,0.017925000000000003,0.006613
576,0.0122,0.014265214,0.0144438,0.010632752,0.017791,0.0067
577,0.012,0.014163562999999999,0.013987800000000002,0.010566408,0.017660000000000002,0.0067870000000000005
578,0.011899999999999999,0.014049353,0.0135204,0.010500949,0.017531,0.006874
579,0.011699999999999999,0.013924126,0.0130644,0.01043609,0.017406,0.00696
580,0.0116,0.013789894,0.0126198,0.01037172,0.017282,0.007044
581,0.011399999999999999,0.013648292000000001,0.0121866,0.01030762,0.017161000000000003,0.007124
582,0.0113,0.013501258,0.0117762,0.010243756,0.017044,0.0072
583,0.011099999999999999,0.013350632000000001,0.0113772,0.010180145,0.016928000000000002,0.0072699999999999996
